handicap,swing_speed,driver_carry,shot_shape,goal,iron_miss,iron_feel,wedge_turf,divot_depth,driver_loft,shaft_flex,fairway_wood_loft,iron_category,wedge_bounce
11.1,101.6,246,Fade,Forgiveness,Inconsistent,Forged/Blade-like,Firm,Medium,9,S,16.5,players-cb,Low
0.0,98.4,246,Fade,Distance,Consistent,Forged/Blade-like,Soft,Medium,9,S,15,blade,High
15.5,88.8,218,Draw,Distance,Consistent,Confidence-inspiring,Normal,Shallow,10.5,R,18,blade,Low
7.4,93.8,232,Draw,Distance,Consistent,No preference,Soft,Shallow,10.5,R,16.5,blade,Mid
12.2,94.7,208,Draw,Distance,Inconsistent,Forged/Blade-like,Firm,Shallow,9,R,16.5,players-cb,Low
9.1,94.8,237,Straight,Forgiveness,Left/Right,No preference,Soft,Shallow,10.5,R,21,game-improvement,Mid
16.2,99.7,223,Straight,Accuracy,Fat/Thin,No preference,Normal,Deep,9,S,16.5,blade,High
1.2,110.2,262,Draw,Accuracy,Consistent,Confidence-inspiring,Soft,Deep,8,S,15,blade,High
3.8,94.4,225,Draw,Accuracy,Consistent,Confidence-inspiring,Soft,Medium,10.5,R,16.5,blade,High
36.0,71.3,174,Straight,Accuracy,Inconsistent,No preference,Firm,Deep,12,L,21,super-game-improvement,Mid
5.4,96.4,231,Draw,Accuracy,Consistent,Forged/Blade-like,Firm,Medium,9,R,16.5,blade,Low
7.1,95.8,214,Fade,Distance,Consistent,No preference,Firm,Medium,9,R,16.5,blade,Low
33.5,71.7,151,Slice,Forgiveness,Left/Right,No preference,Normal,Deep,12,L,21,super-game-improvement,High
36.0,63.2,160,Slice,Accuracy,Fat/Thin,Forged/Blade-like,Soft,Deep,12,L,21,super-game-improvement,High
6.5,106.8,253,Slice,Distance,Left/Right,Forged/Blade-like,Normal,Medium,8,R,15,blade,Mid
13.7,86.8,219,Slice,Forgiveness,Fat/Thin,Forged/Blade-like,Firm,Shallow,12,R,21,game-improvement,Low
20.1,80.6,189,Straight,Accuracy,Left/Right,Confidence-inspiring,Firm,Deep,10.5,A,18,super-game-improvement,Mid
32.6,65.9,137,Slice,Accuracy,Inconsistent,Confidence-inspiring,Normal,Medium,12,L,21,super-game-improvement,Mid
8.1,94.7,235,Draw,Distance,Fat/Thin,Forged/Blade-like,Soft,Shallow,10.5,R,16.5,blade,Mid
14.8,98.7,227,Draw,Accuracy,Left/Right,Forged/Blade-like,Firm,Medium,9,S,15,blade,Low
24.0,84.8,204,Straight,Distance,Inconsistent,Confidence-inspiring,Normal,Deep,10.5,R,18,super-game-improvement,High
20.9,95.9,217,Slice,Distance,Inconsistent,Confidence-inspiring,Normal,Medium,9,R,18,super-game-improvement,Mid
13.6,108.2,276,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,8,X,15,super-game-improvement,Mid
15.8,82.6,183,Slice,Distance,Fat/Thin,No preference,Soft,Medium,10.5,A,18,super-game-improvement,High
4.6,103.2,238,Straight,Forgiveness,Consistent,Forged/Blade-like,Soft,Medium,9,S,16.5,blade,High
14.9,82.6,196,Fade,Accuracy,Consistent,No preference,Normal,Medium,12,A,18,players-cb,Low
14.6,85.8,187,Fade,Forgiveness,Fat/Thin,No preference,Soft,Medium,12,R,21,super-game-improvement,High
19.1,81.6,196,Straight,Forgiveness,Left/Right,Forged/Blade-like,Soft,Deep,9,A,21,players-distance,High
12.0,86.8,225,Fade,Accuracy,Left/Right,Confidence-inspiring,Soft,Medium,10.5,A,18,game-improvement,High
21.2,76.3,173,Slice,Accuracy,Inconsistent,Forged/Blade-like,Firm,Medium,12,A,21,game-improvement,Low
26.1,77.0,186,Straight,Forgiveness,Left/Right,No preference,Firm,Shallow,12,A,21,players-cb,Low
18.4,78.3,148,Fade,Forgiveness,Consistent,Confidence-inspiring,Normal,Medium,8,A,21,game-improvement,Mid
20.2,90.7,213,Fade,Distance,Inconsistent,No preference,Firm,Medium,10.5,R,15,game-improvement,Low
17.5,81.5,187,Fade,Accuracy,Fat/Thin,No preference,Firm,Deep,10.5,R,18,super-game-improvement,Mid
17.0,108.1,243,Fade,Accuracy,Consistent,Forged/Blade-like,Normal,Medium,8,X,15,blade,Mid
10.5,92.8,232,Straight,Distance,Left/Right,Confidence-inspiring,Normal,Shallow,9,R,16.5,players-distance,Low
19.8,85.7,197,Slice,Forgiveness,Left/Right,Confidence-inspiring,Firm,Medium,12,R,21,super-game-improvement,Low
16.1,80.4,187,Draw,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
35.8,78.8,180,Fade,Accuracy,Left/Right,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
31.2,80.0,163,Fade,Distance,Fat/Thin,Confidence-inspiring,Normal,Deep,10.5,A,18,super-game-improvement,High
20.5,86.5,189,Draw,Forgiveness,Inconsistent,Confidence-inspiring,Soft,Shallow,12,R,21,super-game-improvement,Mid
10.1,87.0,217,Hook,Distance,Left/Right,No preference,Normal,Medium,10.5,R,18,players-cb,Mid
7.0,101.4,211,Straight,Accuracy,Fat/Thin,Forged/Blade-like,Firm,Shallow,8,S,16.5,players-cb,Low
27.7,68.3,151,Slice,Forgiveness,Left/Right,Confidence-inspiring,Normal,Medium,12,L,21,super-game-improvement,Mid
19.4,95.9,220,Slice,Distance,Inconsistent,No preference,Firm,Medium,9,S,16.5,game-improvement,Low
21.3,89.2,232,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
1.3,107.2,262,Slice,Accuracy,Consistent,Confidence-inspiring,Firm,Shallow,8,X,15,blade,Low
25.3,61.9,138,Straight,Forgiveness,Left/Right,No preference,Normal,Medium,12,L,21,super-game-improvement,Mid
21.1,76.9,198,Slice,Forgiveness,Left/Right,No preference,Normal,Medium,12,A,16.5,super-game-improvement,High
7.0,104.8,237,Straight,Accuracy,Consistent,Forged/Blade-like,Normal,Medium,9,S,15,blade,Mid
12.8,101.8,252,Fade,Accuracy,Inconsistent,Forged/Blade-like,Normal,Deep,9,S,16.5,players-cb,High
19.4,93.5,202,Straight,Accuracy,Inconsistent,No preference,Normal,Deep,8,R,16.5,blade,High
17.5,76.7,194,Fade,Accuracy,Inconsistent,Confidence-inspiring,Soft,Deep,12,X,21,super-game-improvement,High
14.4,93.6,215,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Medium,10.5,R,21,super-game-improvement,High
16.1,96.6,214,Fade,Forgiveness,Left/Right,Confidence-inspiring,Firm,Deep,9,R,16.5,super-game-improvement,Mid
14.7,79.5,184,Draw,Accuracy,Consistent,Confidence-inspiring,Soft,Medium,12,A,21,players-distance,High
18.4,86.8,208,Slice,Distance,Left/Right,Forged/Blade-like,Firm,Medium,10.5,R,18,players-cb,Low
30.2,75.2,170,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Mid
0.0,105.9,256,Straight,Forgiveness,Inconsistent,Forged/Blade-like,Normal,Medium,9,X,18,blade,Mid
14.9,77.9,175,Straight,Distance,Consistent,Confidence-inspiring,Firm,Medium,12,S,21,players-distance,Low
18.6,84.3,206,Straight,Accuracy,Left/Right,No preference,Normal,Medium,10.5,R,18,players-distance,Mid
19.7,83.1,201,Slice,Distance,Inconsistent,No preference,Firm,Deep,10.5,A,18,game-improvement,Mid
13.7,91.2,214,Straight,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
1.2,102.7,236,Slice,Distance,Inconsistent,Forged/Blade-like,Soft,Deep,9,S,16.5,blade,Low
20.0,81.9,194,Hook,Accuracy,Inconsistent,Confidence-inspiring,Soft,Shallow,8,A,18,super-game-improvement,Mid
32.5,70.3,172,Slice,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Medium,12,L,21,super-game-improvement,Low
3.2,107.4,279,Fade,Forgiveness,Fat/Thin,Forged/Blade-like,Normal,Deep,8,X,15,blade,High
24.8,77.3,194,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,super-game-improvement,High
14.0,89.0,222,Straight,Accuracy,Left/Right,Confidence-inspiring,Normal,Shallow,12,R,18,game-improvement,Low
16.4,89.8,251,Straight,Distance,Left/Right,Confidence-inspiring,Normal,Shallow,10.5,R,18,players-distance,Low
7.5,85.9,209,Slice,Accuracy,Inconsistent,No preference,Soft,Deep,10.5,R,18,players-distance,High
14.0,95.2,230,Hook,Accuracy,Left/Right,Confidence-inspiring,Normal,Medium,9,R,21,game-improvement,Mid
28.7,75.0,185,Straight,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
22.2,82.7,181,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
32.6,77.2,176,Slice,Forgiveness,Left/Right,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
27.6,62.6,141,Draw,Forgiveness,Inconsistent,No preference,Firm,Medium,12,S,15,super-game-improvement,Low
21.0,70.0,173,Straight,Forgiveness,Left/Right,Confidence-inspiring,Normal,Medium,12,L,18,super-game-improvement,Mid
32.7,72.3,168,Draw,Accuracy,Left/Right,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
21.0,83.8,199,Straight,Forgiveness,Left/Right,Confidence-inspiring,Normal,Medium,12,A,16.5,super-game-improvement,Mid
24.5,81.0,204,Slice,Accuracy,Inconsistent,Confidence-inspiring,Normal,Deep,10.5,A,18,super-game-improvement,High
14.3,88.3,219,Fade,Forgiveness,Left/Right,Confidence-inspiring,Soft,Medium,12,R,21,super-game-improvement,High
17.6,92.4,215,Straight,Forgiveness,Left/Right,Forged/Blade-like,Soft,Shallow,10.5,R,21,players-distance,Mid
10.7,102.2,231,Straight,Accuracy,Left/Right,Confidence-inspiring,Normal,Medium,10.5,S,16.5,players-distance,Mid
25.9,81.6,207,Straight,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Deep,12,A,21,players-distance,Mid
6.4,98.8,242,Straight,Forgiveness,Left/Right,Confidence-inspiring,Normal,Medium,8,S,16.5,game-improvement,Mid
24.0,65.6,133,Fade,Accuracy,Left/Right,Confidence-inspiring,Soft,Deep,12,L,21,super-game-improvement,High
15.3,95.8,221,Fade,Distance,Left/Right,Confidence-inspiring,Firm,Shallow,9,R,18,game-improvement,Low
27.5,84.9,202,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
23.8,85.1,210,Straight,Accuracy,Fat/Thin,No preference,Normal,Deep,10.5,R,18,game-improvement,High
33.4,63.4,161,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,10.5,L,16.5,super-game-improvement,Low
23.6,85.6,205,Hook,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Medium,8,R,21,super-game-improvement,Mid
2.9,110.7,268,Straight,Accuracy,Fat/Thin,Forged/Blade-like,Soft,Shallow,10.5,X,15,blade,Mid
16.4,100.1,236,Slice,Distance,Consistent,Confidence-inspiring,Firm,Medium,9,S,16.5,players-distance,Low
6.5,94.4,213,Draw,Accuracy,Inconsistent,No preference,Normal,Deep,10.5,R,16.5,players-distance,High
12.3,92.3,214,Draw,Forgiveness,Left/Right,Confidence-inspiring,Soft,Deep,10.5,R,21,super-game-improvement,High
30.6,78.0,184,Fade,Forgiveness,Fat/Thin,Forged/Blade-like,Firm,Deep,10.5,A,21,super-game-improvement,Mid
22.7,82.3,193,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Medium,12,A,21,super-game-improvement,Mid
10.7,87.9,182,Hook,Accuracy,Fat/Thin,Forged/Blade-like,Firm,Deep,10.5,R,18,players-cb,Mid
7.9,101.8,234,Hook,Forgiveness,Left/Right,Forged/Blade-like,Normal,Shallow,9,S,16.5,players-cb,Low
17.3,92.2,217,Straight,Accuracy,Left/Right,Confidence-inspiring,Normal,Deep,10.5,R,16.5,game-improvement,High
6.1,101.6,235,Slice,Distance,Left/Right,Forged/Blade-like,Firm,Shallow,9,S,16.5,blade,Low
11.0,96.9,225,Straight,Distance,Inconsistent,No preference,Firm,Deep,9,R,16.5,players-distance,Low
19.8,83.4,202,Straight,Distance,Fat/Thin,Forged/Blade-like,Normal,Deep,10.5,A,15,players-cb,High
27.4,86.8,190,Hook,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Medium,10.5,R,18,super-game-improvement,High
22.5,75.8,157,Hook,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
0.0,103.9,240,Straight,Forgiveness,Left/Right,Forged/Blade-like,Soft,Medium,9,S,16.5,blade,Mid
19.7,85.4,211,Slice,Distance,Left/Right,Forged/Blade-like,Firm,Medium,10.5,R,18,players-cb,Low
17.6,93.9,243,Draw,Forgiveness,Consistent,Confidence-inspiring,Normal,Medium,10.5,R,21,game-improvement,Mid
20.7,73.7,183,Straight,Accuracy,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,super-game-improvement,High
31.5,62.6,130,Fade,Accuracy,Consistent,Confidence-inspiring,Normal,Deep,12,L,21,super-game-improvement,High
0.0,93.7,217,Draw,Forgiveness,Consistent,Forged/Blade-like,Firm,Medium,12,R,21,blade,Low
11.7,94.8,226,Draw,Forgiveness,Left/Right,Forged/Blade-like,Soft,Medium,10.5,R,21,players-cb,High
22.3,74.5,177,Fade,Forgiveness,Inconsistent,Confidence-inspiring,Firm,Deep,9,R,21,super-game-improvement,Mid
2.8,102.1,247,Fade,Accuracy,Left/Right,Forged/Blade-like,Soft,Shallow,9,S,16.5,blade,Mid
30.3,77.8,171,Slice,Accuracy,Left/Right,Forged/Blade-like,Normal,Shallow,10.5,A,21,game-improvement,Low
20.3,80.2,189,Slice,Forgiveness,Left/Right,Confidence-inspiring,Normal,Shallow,12,A,21,super-game-improvement,Low
24.6,81.3,197,Hook,Forgiveness,Left/Right,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Mid
11.9,92.2,227,Draw,Accuracy,Inconsistent,Forged/Blade-like,Normal,Deep,9,R,16.5,blade,High
24.3,84.8,189,Fade,Distance,Consistent,No preference,Soft,Shallow,10.5,R,18,players-distance,Mid
26.6,80.7,185,Hook,Accuracy,Left/Right,No preference,Soft,Medium,10.5,A,16.5,game-improvement,Low
19.1,81.2,156,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
19.1,84.9,191,Straight,Distance,Fat/Thin,No preference,Firm,Medium,10.5,R,18,game-improvement,High
19.4,93.0,212,Fade,Forgiveness,Inconsistent,Forged/Blade-like,Normal,Deep,9,R,21,players-distance,High
9.2,100.2,222,Draw,Distance,Consistent,No preference,Normal,Medium,9,S,16.5,blade,Mid
15.7,80.2,191,Straight,Forgiveness,Consistent,Confidence-inspiring,Soft,Deep,12,A,21,game-improvement,High
15.6,94.6,222,Draw,Forgiveness,Consistent,Forged/Blade-like,Soft,Shallow,10.5,R,21,blade,Mid
20.5,76.8,151,Straight,Accuracy,Left/Right,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
26.0,88.0,210,Fade,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Shallow,12,R,21,super-game-improvement,Low
7.5,106.5,238,Straight,Accuracy,Consistent,Confidence-inspiring,Firm,Medium,8,X,15,blade,Low
15.9,91.7,222,Slice,Distance,Consistent,No preference,Soft,Shallow,10.5,R,18,players-cb,Mid
30.3,74.3,158,Slice,Accuracy,Left/Right,Confidence-inspiring,Soft,Shallow,8,A,21,super-game-improvement,Mid
10.3,94.7,223,Fade,Distance,Left/Right,Forged/Blade-like,Normal,Medium,10.5,R,18,blade,Mid
9.6,101.7,235,Straight,Distance,Consistent,Forged/Blade-like,Firm,Medium,9,S,16.5,blade,Low
18.8,83.8,201,Hook,Distance,Consistent,No preference,Firm,Medium,10.5,R,18,super-game-improvement,Low
24.6,81.4,193,Slice,Accuracy,Fat/Thin,No preference,Soft,Deep,10.5,A,18,super-game-improvement,High
17.1,94.4,219,Fade,Accuracy,Fat/Thin,Forged/Blade-like,Normal,Deep,10.5,R,16.5,players-cb,High
29.0,70.7,146,Fade,Forgiveness,Left/Right,Confidence-inspiring,Normal,Deep,12,L,21,super-game-improvement,High
24.7,75.3,158,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Soft,Shallow,12,A,21,super-game-improvement,Mid
24.6,71.3,160,Slice,Distance,Left/Right,Confidence-inspiring,Firm,Medium,8,L,18,super-game-improvement,Low
22.0,75.2,177,Slice,Distance,Fat/Thin,Confidence-inspiring,Soft,Deep,12,X,16.5,super-game-improvement,High
36.0,60.0,133,Slice,Accuracy,Fat/Thin,Confidence-inspiring,Firm,Deep,12,A,21,super-game-improvement,Mid
15.2,95.6,233,Draw,Accuracy,Inconsistent,Confidence-inspiring,Soft,Deep,9,R,15,game-improvement,High
0.0,120.0,278,Straight,Distance,Consistent,No preference,Soft,Medium,8,X,15,players-distance,High
31.4,81.9,180,Hook,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,super-game-improvement,High
12.9,81.8,189,Straight,Accuracy,Consistent,Confidence-inspiring,Firm,Medium,10.5,A,18,players-distance,Low
18.0,92.4,220,Slice,Accuracy,Consistent,No preference,Firm,Shallow,9,A,16.5,players-distance,Low
28.8,84.8,204,Draw,Forgiveness,Left/Right,Forged/Blade-like,Firm,Medium,12,R,21,game-improvement,Low
2.6,101.8,264,Slice,Distance,Consistent,No preference,Soft,Medium,9,S,16.5,blade,High
5.7,102.2,231,Draw,Forgiveness,Fat/Thin,Forged/Blade-like,Firm,Deep,9,S,16.5,blade,Mid
2.6,91.0,213,Draw,Accuracy,Consistent,Confidence-inspiring,Normal,Medium,10.5,R,18,blade,Mid
9.9,98.5,237,Draw,Distance,Left/Right,Forged/Blade-like,Normal,Deep,9,S,18,blade,High
21.0,76.4,179,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
21.7,84.4,192,Slice,Accuracy,Inconsistent,Confidence-inspiring,Soft,Deep,10.5,R,16.5,players-cb,High
19.5,74.6,155,Hook,Forgiveness,Fat/Thin,No preference,Normal,Deep,10.5,A,21,super-game-improvement,High
4.3,106.9,245,Straight,Accuracy,Consistent,Forged/Blade-like,Soft,Medium,8,X,15,blade,High
0.0,115.2,257,Straight,Distance,Consistent,Forged/Blade-like,Normal,Medium,8,X,15,players-cb,Mid
17.5,82.4,171,Fade,Distance,Left/Right,Confidence-inspiring,Normal,Medium,8,A,18,super-game-improvement,Mid
12.8,85.3,190,Slice,Forgiveness,Consistent,Confidence-inspiring,Firm,Shallow,12,R,21,game-improvement,Low
21.1,68.6,148,Slice,Distance,Fat/Thin,No preference,Firm,Deep,12,L,21,super-game-improvement,Mid
23.3,79.3,194,Slice,Forgiveness,Left/Right,Confidence-inspiring,Normal,Medium,9,A,21,super-game-improvement,Mid
18.2,83.0,203,Slice,Forgiveness,Left/Right,Confidence-inspiring,Firm,Medium,12,A,21,super-game-improvement,Low
23.8,69.8,152,Draw,Forgiveness,Left/Right,Confidence-inspiring,Firm,Deep,12,L,21,super-game-improvement,Mid
19.1,89.2,206,Straight,Distance,Consistent,Forged/Blade-like,Normal,Shallow,10.5,R,18,game-improvement,Low
21.8,79.8,163,Fade,Accuracy,Left/Right,Confidence-inspiring,Normal,Shallow,10.5,A,18,super-game-improvement,Low
10.7,88.2,201,Slice,Distance,Consistent,Confidence-inspiring,Soft,Medium,10.5,R,18,players-cb,High
15.4,86.4,208,Fade,Forgiveness,Fat/Thin,Forged/Blade-like,Soft,Deep,10.5,R,21,game-improvement,High
18.8,93.9,231,Straight,Forgiveness,Consistent,No preference,Soft,Shallow,10.5,R,21,players-distance,Mid
24.4,84.2,189,Slice,Distance,Inconsistent,No preference,Firm,Deep,10.5,R,18,super-game-improvement,Mid
13.5,91.6,229,Fade,Forgiveness,Left/Right,No preference,Normal,Medium,12,S,21,game-improvement,Mid
21.7,87.4,186,Slice,Distance,Consistent,Confidence-inspiring,Soft,Medium,10.5,R,18,game-improvement,High
14.6,83.1,179,Fade,Accuracy,Consistent,Forged/Blade-like,Normal,Shallow,10.5,A,21,blade,Low
15.9,89.9,220,Draw,Accuracy,Fat/Thin,Forged/Blade-like,Normal,Medium,10.5,R,18,players-cb,Low
24.5,80.9,212,Slice,Distance,Fat/Thin,Confidence-inspiring,Normal,Deep,10.5,A,18,super-game-improvement,High
0.0,104.7,252,Draw,Accuracy,Left/Right,No preference,Normal,Deep,9,S,15,blade,High
5.3,105.0,246,Straight,Distance,Left/Right,Forged/Blade-like,Normal,Medium,9,X,15,blade,Mid
3.7,98.3,202,Slice,Forgiveness,Consistent,Forged/Blade-like,Firm,Shallow,9,S,16.5,blade,Low
0.0,111.6,236,Draw,Accuracy,Fat/Thin,Forged/Blade-like,Normal,Deep,8,X,15,blade,High
10.9,99.3,235,Draw,Distance,Consistent,Confidence-inspiring,Firm,Shallow,9,S,16.5,players-cb,Low
23.7,60.3,137,Slice,Distance,Fat/Thin,Confidence-inspiring,Soft,Deep,12,L,21,super-game-improvement,High
14.4,99.8,220,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,S,16.5,super-game-improvement,High
18.8,65.0,154,Draw,Accuracy,Inconsistent,Forged/Blade-like,Normal,Shallow,12,L,21,players-distance,Low
26.8,72.9,173,Fade,Distance,Fat/Thin,Confidence-inspiring,Normal,Deep,12,A,21,super-game-improvement,High
28.9,81.9,205,Draw,Forgiveness,Inconsistent,Confidence-inspiring,Soft,Shallow,12,A,18,super-game-improvement,High
16.4,86.9,206,Straight,Accuracy,Left/Right,Confidence-inspiring,Normal,Medium,10.5,R,18,game-improvement,Mid
29.2,64.2,167,Slice,Accuracy,Left/Right,Confidence-inspiring,Normal,Deep,12,L,18,super-game-improvement,High
17.8,79.9,188,Straight,Forgiveness,Inconsistent,Forged/Blade-like,Firm,Deep,12,A,21,players-distance,Mid
9.5,104.3,244,Straight,Accuracy,Fat/Thin,No preference,Firm,Deep,9,S,15,players-cb,Mid
11.7,81.1,204,Slice,Distance,Fat/Thin,No preference,Firm,Deep,10.5,A,18,players-distance,Mid
3.7,111.6,250,Fade,Accuracy,Inconsistent,Forged/Blade-like,Firm,Medium,8,X,15,blade,Mid
9.0,97.3,265,Straight,Accuracy,Left/Right,Forged/Blade-like,Soft,Deep,12,S,16.5,blade,High
13.8,83.8,202,Straight,Forgiveness,Left/Right,No preference,Normal,Shallow,12,A,21,game-improvement,High
24.2,76.1,184,Straight,Accuracy,Fat/Thin,Confidence-inspiring,Soft,Shallow,12,A,21,super-game-improvement,Mid
32.5,63.5,156,Hook,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Deep,12,L,21,super-game-improvement,High
4.6,108.8,280,Draw,Distance,Consistent,Confidence-inspiring,Soft,Shallow,8,X,15,blade,Mid
20.5,89.6,221,Fade,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
7.6,87.2,184,Draw,Forgiveness,Consistent,Confidence-inspiring,Normal,Medium,12,R,18,game-improvement,Mid
21.3,80.7,208,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Soft,Deep,12,A,21,super-game-improvement,High
15.8,83.8,192,Straight,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Shallow,12,A,16.5,players-distance,Low
0.5,116.5,275,Slice,Accuracy,Inconsistent,Forged/Blade-like,Firm,Shallow,8,X,15,blade,Low
25.4,69.3,146,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Shallow,12,L,21,super-game-improvement,Low
11.6,105.9,256,Slice,Distance,Left/Right,Forged/Blade-like,Normal,Medium,9,X,15,blade,High
12.2,93.7,212,Hook,Accuracy,Inconsistent,Forged/Blade-like,Normal,Medium,10.5,R,16.5,players-cb,High
7.4,91.4,216,Hook,Accuracy,Consistent,No preference,Soft,Medium,10.5,R,18,blade,Low
11.1,90.5,209,Fade,Accuracy,Fat/Thin,Forged/Blade-like,Soft,Shallow,10.5,R,18,players-cb,Mid
20.9,78.4,209,Draw,Forgiveness,Fat/Thin,Confidence-inspiring,Normal,Deep,12,R,21,super-game-improvement,High
15.3,81.5,217,Draw,Distance,Left/Right,No preference,Firm,Deep,10.5,A,18,players-distance,Mid
20.0,85.7,202,Draw,Accuracy,Fat/Thin,Confidence-inspiring,Normal,Medium,10.5,R,18,super-game-improvement,Mid
20.3,76.1,180,Draw,Distance,Left/Right,No preference,Soft,Deep,12,A,21,game-improvement,High
28.9,60.0,136,Straight,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Shallow,12,L,21,game-improvement,Low
13.9,89.4,224,Hook,Forgiveness,Fat/Thin,Forged/Blade-like,Soft,Deep,12,R,15,players-distance,High
3.7,91.1,210,Fade,Forgiveness,Left/Right,No preference,Normal,Medium,12,R,21,players-distance,Mid
26.6,72.1,164,Slice,Distance,Consistent,Confidence-inspiring,Soft,Medium,9,A,21,players-cb,High
14.0,85.5,214,Fade,Forgiveness,Inconsistent,No preference,Soft,Deep,12,R,21,super-game-improvement,High
27.0,70.9,160,Draw,Accuracy,Inconsistent,Confidence-inspiring,Soft,Medium,8,L,21,super-game-improvement,Mid
20.5,98.4,231,Hook,Forgiveness,Left/Right,Confidence-inspiring,Soft,Deep,9,S,16.5,super-game-improvement,High
15.8,90.2,191,Hook,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,12,R,21,super-game-improvement,Mid
20.1,86.6,213,Straight,Forgiveness,Left/Right,Confidence-inspiring,Normal,Medium,12,R,21,super-game-improvement,Mid
34.6,60.0,166,Draw,Accuracy,Left/Right,Confidence-inspiring,Firm,Deep,9,L,21,super-game-improvement,Mid
35.7,62.4,156,Slice,Forgiveness,Fat/Thin,Confidence-inspiring,Firm,Deep,12,L,21,super-game-improvement,Mid
17.6,89.3,229,Slice,Forgiveness,Consistent,Forged/Blade-like,Firm,Deep,12,R,21,players-cb,Mid
18.4,79.7,176,Straight,Forgiveness,Consistent,Confidence-inspiring,Soft,Shallow,12,L,21,game-improvement,Mid
26.7,83.7,200,Slice,Forgiveness,Inconsistent,Confidence-inspiring,Normal,Medium,12,A,21,super-game-improvement,High
9.4,88.8,196,Slice,Forgiveness,Left/Right,No preference,Soft,Medium,12,R,21,game-improvement,High
20.0,83.0,192,Slice,Distance,Fat/Thin,Confidence-inspiring,Firm,Deep,10.5,A,18,super-game-improvement,Mid
16.8,84.6,209,Draw,Distance,Left/Right,Forged/Blade-like,Firm,Shallow,10.5,A,18,blade,Low
19.8,86.4,204,Draw,Forgiveness,Inconsistent,Forged/Blade-like,Soft,Medium,12,R,21,players-distance,High
9.5,92.6,199,Straight,Forgiveness,Consistent,No preference,Soft,Shallow,12,R,21,players-cb,Low
2.7,103.0,225,Straight,Accuracy,Inconsistent,Confidence-inspiring,Soft,Medium,9,L,16.5,players-cb,High
0.0,106.3,232,Hook,Distance,Consistent,Forged/Blade-like,Firm,Medium,8,X,15,blade,Low
6.9,94.9,229,Straight,Distance,Consistent,No preference,Normal,Deep,10.5,R,16.5,blade,High
12.9,96.6,254,Hook,Forgiveness,Left/Right,No preference,Firm,Shallow,9,R,16.5,game-improvement,Low
14.4,93.1,236,Draw,Accuracy,Inconsistent,Confidence-inspiring,Soft,Medium,9,R,16.5,game-improvement,High
34.4,67.8,135,Slice,Accuracy,Left/Right,Confidence-inspiring,Firm,Shallow,12,S,21,super-game-improvement,Low
27.0,73.9,192,Straight,Accuracy,Inconsistent,Confidence-inspiring,Soft,Medium,12,A,21,super-game-improvement,High
8.3,104.0,257,Fade,Accuracy,Consistent,Confidence-inspiring,Firm,Medium,9,S,15,blade,Low
